kepid,kepoi_name,kepler_name,koi_disposition,koi_score,koi_period,koi_prad,koi_teq,koi_insol,koi_steff,koi_srad,planet_type
4671584,K06434.01,Unconfirmed Candidate,FALSE POSITIVE,0.0,2.796661168,47.68,1661.0,1797.72,6331.0,1.326,Gas Giant (Jupiter-size)
4678171,K06435.01,Unconfirmed Candidate,FALSE POSITIVE,0.0,15.28870918,54.56,509.0,15.84,4464.0,0.719,Gas Giant (Jupiter-size)
4681152,K06436.01,Unconfirmed Candidate,FALSE POSITIVE,0.001,1.83592242,46.3,1501.0,1195.13,5930.0,0.976,Gas Giant (Jupiter-size)
8297017,K07879.01,Unconfirmed Candidate,CANDIDATE,0.206,128.208643,6.15,792.0,93.05,7128.0,3.811,Gas Giant (Jupiter-size)
5282656,K06551.01,Unconfirmed Candidate,FALSE POSITIVE,0.193,1.516372183,1.06,1686.0,1911.54,6142.0,1.046,Terrestrial (Earth-size)
5284133,K06552.01,Unconfirmed Candidate,FALSE POSITIVE,0.0,8.784575777,104.57,1555.0,1380.83,8144.0,1.914,Gas Giant (Jupiter-size)
5285607,K06553.01,Unconfirmed Candidate,FALSE POSITIVE,0.0,1.949700508,56.11,1716.0,2048.37,6469.0,1.193,Gas Giant (Jupiter-size)
5286786,K06554.01,Unconfirmed Candidate,FALSE POSITIVE,0.0,9.948701373,29.19,704.0,57.93,5152.0,0.786,Gas Giant (Jupiter-size)
5288543,K06555.01,Unconfirmed Candidate,FALSE POSITIVE,0.0,3.457078812,86.12,1603.0,1560.4,6526.0,1.482,Gas Giant (Jupiter-size)
5294739,K06556.01,Unconfirmed Candidate,FALSE POSITIVE,0.0,3.735993484,571.07,2063.0,4283.18,5467.0,4.055,Gas Giant (Jupiter-size)
5295206,K06557.01,Unconfirmed Candidate,CANDIDATE,0.989,6.63448023,1.04,1177.0,453.27,6463.0,1.225,Terrestrial (Earth-size)
5298620,K06558.01,Unconfirmed Candidate,FALSE POSITIVE,0.0,12.4239677,0.87,606.0,31.93,4995.0,0.698,Terrestrial (Earth-size)
5300878,K06559.01,Unconfirmed Candidate,FALSE POSITIVE,0.0,0.639721284,46.59,1505.0,1220.53,4794.0,0.625,Gas Giant (Jupiter-size)
6292732,K06686.01,Unconfirmed Candidate,FALSE POSITIVE,0.0,1.25338826,0.64,1651.0,1750.61,5869.0,0.942,Terrestrial (Earth-size)
6307000,K06687.01,Unconfirmed Candidate,CANDIDATE,0.973,1.002591901,0.87,1391.0,884.21,4893.0,0.739,Terrestrial (Earth-size)
6311637,K06688.01,Unconfirmed Candidate,FALSE POSITIVE,0.0,1.620813697,43.95,1733.0,2127.67,5757.0,1.177,Gas Giant (Jupiter-size)
6345758,K06689.01,Unconfirmed Candidate,CANDIDATE,0.996,3.37116682,0.98,1291.0,656.3,5653.0,1.163,Terrestrial (Earth-size)
6364126,K06690.01,Unconfirmed Candidate,FALSE POSITIVE,0.0,5.2434664,2.83,831.0,113.05,5047.0,0.766,Neptunian (Ice Giant)
6364195,K06691.01,Unconfirmed Candidate,FALSE POSITIVE,0.0,5.2439542,0.81,778.0,86.51,4920.0,0.691,Terrestrial (Earth-size)
6364200,K06692.01,Unconfirmed Candidate,FALSE POSITIVE,0.0,5.2441517,0.91,1056.0,293.68,6060.0,0.925,Terrestrial (Earth-size)
6364247,K06693.01,Unconfirmed Candidate,FALSE POSITIVE,0.0,5.2443332,0.58,1054.0,291.25,5952.0,0.971,Terrestrial (Earth-size)
